0,92.11
1,92.92
2,93.71
3,95.08
4,95.89
5,96.14
6,96.55
7,96.84
8,96.83
9,96.87
10,97.0
11,96.770004
12,97.27
13,97.32
14,97.33
15,97.29
16,97.39
17,97.649994
18,97.35
19,97.59
20,97.59
21,97.88
22,97.89
23,97.82
24,97.99
25,98.13
26,97.759995
27,98.119995
28,98.04
29,98.009995
30,98.2
31,98.24
32,98.07
33,98.119995
34,98.189995
35,98.15
36,98.24
37,98.42
38,98.38
39,98.29
40,98.46
41,98.4
42,98.43
43,98.439995
44,98.509995
45,98.49
46,98.56
47,98.5
48,98.53
49,98.52
