0,95.340004
1,97.32
2,97.75
3,97.86
4,98.28
5,98.56
6,98.5
7,98.42
8,98.68
9,98.49
10,98.76
11,98.74
12,98.689995
13,98.77
14,98.799995
15,98.72
16,98.88
17,99.04
18,98.81
19,98.95
20,98.95
21,99.03
22,99.08
23,99.13
24,99.13
25,99.229996
26,99.09
27,99.18
28,99.11
29,99.08
30,99.1
31,99.13
32,99.119995
33,99.22
34,99.119995
35,99.14
36,99.2
37,99.24
38,99.15
39,99.229996
40,99.24
41,99.27
42,99.27
43,99.32
44,99.21
45,99.25
46,99.29
47,99.33
48,99.31
49,99.28
