0,96.16
1,97.13
2,97.57
3,97.869995
4,97.979996
5,97.979996
6,98.02
7,98.189995
8,98.2
9,98.17
10,98.31
11,98.32
12,98.46
13,98.28
14,98.43
15,98.32
16,98.43
17,98.64
18,98.59
19,98.56
20,98.77
21,98.81
22,98.72
23,98.89
24,98.56
25,98.82
26,98.76
27,98.75
28,98.89
29,98.79
30,98.9
31,98.799995
32,98.77
33,98.89
34,98.89
35,98.96
36,98.96
37,98.92
38,98.96
39,98.95
40,98.99
41,98.92
42,98.9
43,99.0
44,98.96
45,99.06
46,99.09
47,99.02
48,99.01
49,99.04
