0,95.93
1,96.91
2,97.18
3,97.25
4,97.18
5,97.43
6,97.86
7,97.71
8,97.67
9,97.63
10,98.049995
11,98.11
12,97.82
13,98.32
14,97.99
15,98.229996
16,98.21
17,98.32
18,98.299995
19,98.14
20,98.34
21,98.39
22,98.38
23,98.53
24,98.45
25,98.409996
26,98.619995
27,98.61
28,98.53
29,98.63
30,98.57
31,98.56
32,98.61
33,98.67
34,98.619995
35,98.59
36,98.65
37,98.67
38,98.689995
39,98.67
40,98.63
41,98.63
42,98.63
43,98.68
44,98.7
45,98.689995
46,98.71
47,98.7
48,98.72
49,98.75
