1,95.590004
2,96.16
3,96.32
4,96.7
5,96.74
6,96.85
7,97.05
8,96.85
9,97.399994
10,97.36
11,96.86
12,97.49
13,97.299995
14,97.52
15,97.38
16,97.61
17,97.619995
18,97.729996
19,97.56
20,98.02
21,97.78
22,97.99
23,98.2
24,97.649994
25,98.079994
26,98.079994
27,98.119995
28,97.979996
29,98.11
30,98.119995
31,98.09
32,98.29
33,98.18
34,98.229996
35,98.31
36,98.36
37,98.34
38,98.24
39,98.299995
40,98.38
41,98.49
42,98.409996
43,98.509995
44,98.34
45,98.45
46,98.42
47,98.46
48,98.5
49,98.53
