0,95.82
1,97.07
2,97.939995
3,98.06
4,98.31
5,98.35
6,98.64
7,98.61
8,98.52
9,98.479996
10,98.57
11,98.76
12,98.909996
13,98.81
14,98.79
15,98.76
16,98.85
17,98.76
18,98.94
19,98.869995
20,98.89
21,98.95
22,98.83
23,99.02
24,98.96
25,98.88
26,99.0
27,99.09
28,98.96
29,98.97
30,98.97
31,99.02
32,99.07
33,99.01
34,98.979996
35,99.14
36,99.13
37,99.18
38,99.119995
39,99.13
40,99.159996
41,99.15
42,99.18
43,99.2
44,99.14
45,99.14
46,99.21
47,99.19
48,99.21
49,99.21
